ModelID,Scenario,Method,SampleSize,alpha,TestStatCont,CommonStdDev,TestStatBin,FWERControl,nArms,nEps,lEpType,Arms.Mean,Arms.std.dev,Arms.Prop,Arms.alloc.ratio,EP.Corr,WI,G,test.type,info_frac,typeOfDesign,MultipleWinners,Selection,SelectionLook,SelectEndPoint,SelectionScale,SelectionCriterion,SelectionParameter,KeepAssociatedHypo,ImplicitSSR,nSimulation,nSimulation_Stage2,Seed,SummaryStat,plotGraphs,Parallel,UseCC
11,"Best=1,N=2000,MultWin=T",CER,2000,0.025,NA,NA,UnPooled,CombinationTest,3,2,"list('EP1' = 'Binary', 'EP2' = 'Binary')",NA,NA,"list('EP1' = c(0.4, 0.4, 0.4), 'EP2' = c(0.5, 0.5, 0.5))","c(1,1,1)","matrix(c(1, 0.5, 0.5, 1), nrow = nEps) # c(1)","c(rep(1/4, 4))","rbind(H1=c(0, 1/3, 1/3, 1/3), H2=c(1/3, 0, 1/3, 1/3), H3=c(1/3, 1/3, 0, 1/3), H4=c(1/3, 1/3, 1/3, 0))",Partly-Parametric,"c(0.5, 1)",asOF,TRUE,TRUE,1,1,pvalue,best,1,TRUE,Selection,20000,2000,6534,TRUE,FALSE,TRUE,TRUE
12,"No selection,N=2000,Pooled",CER,2000,0.025,NA,NA,Pooled,CombinationTest,3,2,"list('EP1' = 'Binary', 'EP2' = 'Binary')",NA,NA,"list('EP1' = c(0.4, 0.4, 0.4), 'EP2' = c(0.5, 0.5, 0.5))","c(1,1,1)","matrix(c(1, 0.5, 0.5, 1), nrow = nEps) # c(1)","c(rep(1/4, 4))","rbind(H1=c(0, 1/3, 1/3, 1/3), H2=c(1/3, 0, 1/3, 1/3), H3=c(1/3, 1/3, 0, 1/3), H4=c(1/3, 1/3, 1/3, 0))",Partly-Parametric,"c(0.5, 1)",asOF,FALSE,FALSE,NA,NA,NA,NA,NA,NA,None,20000,2000,6534,TRUE,FALSE,TRUE,TRUE
13,"Fut=0.25,N=2000,Pooled",CER,2000,0.025,NA,NA,Pooled,CombinationTest,3,2,"list('EP1' = 'Binary', 'EP2' = 'Binary')",NA,NA,"list('EP1' = c(0.4, 0.4, 0.4), 'EP2' = c(0.5, 0.5, 0.5))","c(1,1,1)","matrix(c(1, 0.5, 0.5, 1), nrow = nEps) # c(1)","c(rep(1/4, 4))","rbind(H1=c(0, 1/3, 1/3, 1/3), H2=c(1/3, 0, 1/3, 1/3), H3=c(1/3, 1/3, 0, 1/3), H4=c(1/3, 1/3, 1/3, 0))",Partly-Parametric,"c(0.5, 1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.25,TRUE,Selection,20000,2000,6534,TRUE,FALSE,TRUE,TRUE
14,"Best=1,N=2000,Pooled",CER,2000,0.025,NA,NA,Pooled,CombinationTest,3,2,"list('EP1' = 'Binary', 'EP2' = 'Binary')",NA,NA,"list('EP1' = c(0.4, 0.4, 0.4), 'EP2' = c(0.5, 0.5, 0.5))","c(1,1,1)","matrix(c(1, 0.5, 0.5, 1), nrow = nEps) # c(1)","c(rep(1/4, 4))","rbind(H1=c(0, 1/3, 1/3, 1/3), H2=c(1/3, 0, 1/3, 1/3), H3=c(1/3, 1/3, 0, 1/3), H4=c(1/3, 1/3, 1/3, 0))",Partly-Parametric,"c(0.5, 1)",asOF,FALSE,TRUE,1,1,pvalue,best,1,TRUE,Selection,20000,2000,6534,TRUE,FALSE,TRUE,TRUE
15,"No selection,N=2000,CumStat",CER,2000,0.025,NA,NA,UnPooled,None,3,2,"list('EP1' = 'Binary', 'EP2' = 'Binary')",NA,NA,"list('EP1' = c(0.4, 0.4, 0.4), 'EP2' = c(0.5, 0.5, 0.5))","c(1,1,1)","matrix(c(1, 0.5, 0.5, 1), nrow = nEps) # c(1)","c(rep(1/4, 4))","rbind(H1=c(0, 1/3, 1/3, 1/3), H2=c(1/3, 0, 1/3, 1/3), H3=c(1/3, 1/3, 0, 1/3), H4=c(1/3, 1/3, 1/3, 0))",Partly-Parametric,"c(0.5, 1)",asOF,FALSE,FALSE,NA,NA,NA,NA,NA,NA,None,20000,2000,6534,TRUE,FALSE,TRUE,TRUE
16,"Fut=0.25,N=2000,CumStat",CER,2000,0.025,NA,NA,UnPooled,None,3,2,"list('EP1' = 'Binary', 'EP2' = 'Binary')",NA,NA,"list('EP1' = c(0.4, 0.4, 0.4), 'EP2' = c(0.5, 0.5, 0.5))","c(1,1,1)","matrix(c(1, 0.5, 0.5, 1), nrow = nEps) # c(1)","c(rep(1/4, 4))","rbind(H1=c(0, 1/3, 1/3, 1/3), H2=c(1/3, 0, 1/3, 1/3), H3=c(1/3, 1/3, 0, 1/3), H4=c(1/3, 1/3, 1/3, 0))",Partly-Parametric,"c(0.5, 1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.25,TRUE,Selection,20000,2000,6534,TRUE,FALSE,TRUE,TRUE
17,"Best=1,N=2000,CumStat",CER,2000,0.025,NA,NA,UnPooled,None,3,2,"list('EP1' = 'Binary', 'EP2' = 'Binary')",NA,NA,"list('EP1' = c(0.4, 0.4, 0.4), 'EP2' = c(0.5, 0.5, 0.5))","c(1,1,1)","matrix(c(1, 0.5, 0.5, 1), nrow = nEps) # c(1)","c(rep(1/4, 4))","rbind(H1=c(0, 1/3, 1/3, 1/3), H2=c(1/3, 0, 1/3, 1/3), H3=c(1/3, 1/3, 0, 1/3), H4=c(1/3, 1/3, 1/3, 0))",Partly-Parametric,"c(0.5, 1)",asOF,FALSE,TRUE,1,1,pvalue,best,1,TRUE,Selection,20000,2000,6534,TRUE,FALSE,TRUE,TRUE
18,"S0, No Select, No CC, CPV",CombPValue,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.22, 0.22, 0.22, 0.22, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,1,1,1,1)","matrix(c(1, 0.5, 0.5, 1), byrow = T, nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(0.5, 1)",asOF,TRUE,FALSE,NA,NA,NA,NA,NA,NA,None,20000,500,5873,FALSE,FALSE,TRUE,FALSE
19,"S0, No Select, No CC, CER",CER,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.22, 0.22, 0.22, 0.22, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,1,1,1,1)","matrix(c(1, 0.5, 0.5, 1), byrow = T, nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(0.5, 1)",asOF,TRUE,FALSE,NA,NA,NA,NA,NA,NA,None,20000,500,4140,FALSE,FALSE,TRUE,FALSE
20,"S0, Conservative, No CC, CPV",CombPValue,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.22, 0.22, 0.22, 0.22, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,pvalue,threshold,0.75,TRUE,Selection,20000,500,90,FALSE,FALSE,TRUE,FALSE
21,"S0, Conservative, No CC, CER",CER,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.22, 0.22, 0.22, 0.22, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,pvalue,threshold,0.75,TRUE,Selection,20000,500,9325,FALSE,FALSE,TRUE,FALSE
22,"S0, Normal, No CC, CPV",CombPValue,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.22, 0.22, 0.22, 0.22, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,pvalue,threshold,0.5,TRUE,Selection,20000,500,2036,FALSE,FALSE,TRUE,FALSE
23,"S0, Normal, No CC, CER",CER,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.22, 0.22, 0.22, 0.22, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,pvalue,threshold,0.5,TRUE,Selection,20000,500,3522,FALSE,FALSE,TRUE,FALSE
24,"S0, Aggressive, No CC, CPV",CombPValue,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.22, 0.22, 0.22, 0.22, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,pvalue,threshold,0.25,TRUE,Selection,20000,500,5962,FALSE,FALSE,TRUE,FALSE
25,"S0, Aggressive, No CC, CER",CER,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.22, 0.22, 0.22, 0.22, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,pvalue,threshold,0.25,TRUE,Selection,20000,500,6884,FALSE,FALSE,TRUE,FALSE
26,"S0, Ultra Aggressive, No CC, CPV",CombPValue,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.22, 0.22, 0.22, 0.22, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,pvalue,best,1,TRUE,Selection,20000,500,6689,FALSE,FALSE,TRUE,FALSE
27,"S0, Ultra Aggressive, No CC, CER",CER,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.22, 0.22, 0.22, 0.22, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.1))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,pvalue,best,1,TRUE,Selection,20000,500,8986,FALSE,FALSE,TRUE,FALSE
28,"S1, No Select, No CC, CPV",CombPValue,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.1, 0.1, 0.1, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.22))","c(1,1,1,1,1)","matrix(c(1, 0.5, 0.5, 1), byrow = T, nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(0.5, 1)",asOF,TRUE,FALSE,NA,NA,NA,NA,NA,NA,None,20000,500,6219,FALSE,FALSE,TRUE,FALSE
29,"S1, No Select, No CC, CER",CER,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.1, 0.1, 0.1, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.22))","c(1,1,1,1,1)","matrix(c(1, 0.5, 0.5, 1), byrow = T, nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(0.5, 1)",asOF,TRUE,FALSE,NA,NA,NA,NA,NA,NA,None,20000,500,1935,FALSE,FALSE,TRUE,FALSE
30,"S1, Conservative, No CC, CPV",CombPValue,2000,0.025,NA,NA,UnPooled,CombinationTest,5,2,"list(EP1 = ""Binary"", EP2 = ""Binary"")",NA,NA,"list(EP1 = c(0.1, 0.1, 0.1, 0.1, 0.22), EP2 = c(0.1, 0.1, 0.1, 0.1, 0.22))","c(1,1,1,1,1)","matrix(c(1,0.5,0.5,1),nrow = 2)","c(0.25,0.25,0.25,0.25, 0, 0, 0, 0)","matrix(c(0,1/12,1/12,1/12,3/4,0,0,0,
              1/12,0,1/12,1/12,0,3/4,0,0,
              1/12,1/12,0,1/12,0,0,3/4,0,
              1/12,1/12,1/12,0,0,0,0,3/4,
              0,1/3,1/3,1/3,0,0,0,0,
              1/3,0,1/3,1/3,0,0,0,0,
              1/3,1/3,0,1/3,0,0,0,0,
              1/3,1/3,1/3,0,0,0,0,0),
            nrow = nEps*(nArms-1), byrow = T)",Partly-Parametric,"c(1/2,1)",asOF,TRUE,TRUE,1,1,pvalue,threshold,0.75,TRUE,Selection,20000,500,5069,FALSE,FALSE,TRUE,FALSE
